run,NSGA-II-SVM,NSGA-II-DT,RS
1,0.039215686274509685,0.09962481382060291,0.34672279495250746
2,0.051282051282051225,0.0652340950721498,0.24597383094797037
3,0.033298428412080014,0.12353797177084408,0.3207308841879847
4,0.06451612903225798,0.21355272510151058,0.3823052163308511
5,0.0909090909090908,0.10661973838067974,0.3137118793494787
6,0.0357142857142858,0.07232937955295538,0.27642695874962986
7,0.04651162790697672,0.15743695186438905,0.5
8,0.0465116279069763,0.19495994426442875,0.5097464388396654
9,0.041666666666666526,0.12077114152379897,0.29920112473285865
10,0.051282051282051255,0.18144771536674575,0.5
